"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020726","Cuts and offal, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020727","Cuts and offal, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","10"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020741","Not cut in pieces, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020742","Not cut in pieces, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020743","Fatty livers, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020744","Other, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020745","Other, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020751","Not cut in pieces, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020752","Not cut in pieces, frozen","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020753","Fatty livers, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","020754","Other, fresh or chilled","A","Annual","A","Annual","PCT","Percent","2016","","","","20"
